target_success,width,floor,expected_rank_order,mean_best_minus_runner_up,simulation_interval_low,simulation_interval_high,resolved_best,best_policy_by_mean,both_information_negative_vs_blocked
0.6,0.12,0.1,two_corner_robust_response_information_gain > interleaved_median_item > blocked_median_item > maximum_response_information_gain,0.0005971912607690366,0.0004354646343403499,0.0007589178871977234,True,two_corner_robust_response_information_gain,False
0.6,0.12,0.25,two_corner_robust_response_information_gain > interleaved_median_item > maximum_response_information_gain > blocked_median_item,0.0006003828834243996,0.00038152013502564533,0.0008192456318231538,True,two_corner_robust_response_information_gain,False
0.6,0.12,0.5,two_corner_robust_response_information_gain > maximum_response_information_gain > interleaved_median_item > blocked_median_item,0.0004920041932336306,0.00024838544272654656,0.0007356229437407146,True,two_corner_robust_response_information_gain,False
0.6,0.18,0.1,two_corner_robust_response_information_gain > maximum_response_information_gain > interleaved_median_item > blocked_median_item,0.0004479597546918512,0.00025675286815476537,0.0006391666412289371,True,two_corner_robust_response_information_gain,False
0.6,0.18,0.25,two_corner_robust_response_information_gain > maximum_response_information_gain > interleaved_median_item > blocked_median_item,0.0003864394323981779,9.000644922992838e-05,0.0006828724155664274,True,two_corner_robust_response_information_gain,False
0.6,0.18,0.5,two_corner_robust_response_information_gain > maximum_response_information_gain > interleaved_median_item > blocked_median_item,0.00012367519509726144,-0.00019561118642873144,0.0004429615766232543,False,two_corner_robust_response_information_gain,False
0.6,0.25,0.1,two_corner_robust_response_information_gain > maximum_response_information_gain > interleaved_median_item > blocked_median_item,0.00026908929596973773,8.233834542976872e-05,0.00045584024650970674,True,two_corner_robust_response_information_gain,False
0.6,0.25,0.25,two_corner_robust_response_information_gain > maximum_response_information_gain > interleaved_median_item > blocked_median_item,0.00019877253736710898,-1.8800310881023096e-05,0.00041634538561524106,False,two_corner_robust_response_information_gain,False
0.6,0.25,0.5,two_corner_robust_response_information_gain > maximum_response_information_gain > interleaved_median_item > blocked_median_item,4.670078167798852e-05,-1.502967174410167e-05,0.0001084312351000787,False,two_corner_robust_response_information_gain,False
0.7,0.12,0.1,interleaved_median_item > blocked_median_item > two_corner_robust_response_information_gain > maximum_response_information_gain,2.6860004759998724e-05,2.621394272439787e-05,2.750606679559958e-05,True,interleaved_median_item,True
0.7,0.12,0.25,interleaved_median_item > blocked_median_item > two_corner_robust_response_information_gain > maximum_response_information_gain,2.4756897298294777e-05,2.3719313898651823e-05,2.579448069793773e-05,True,interleaved_median_item,True
0.7,0.12,0.5,interleaved_median_item > blocked_median_item > two_corner_robust_response_information_gain > maximum_response_information_gain,2.1990016327522177e-05,2.1455004139451047e-05,2.2525028515593307e-05,True,interleaved_median_item,True
