model,gap_bin,n_events,event_rate_weighted,mean_prediction_weighted,log_loss_weighted,brier_weighted,auc_weighted
BKT,12h_lt1d,46376,0.6547783336208384,0.6504754896880987,0.6295417883300515,0.21926401248578098,0.591092127709113
BKT,1d_lt3d,86240,0.6367230983302412,0.6442345148692437,0.636689307768456,0.22270042860091158,0.6058245959071297
BKT,1min_lt5min,76517,0.663212096658259,0.6598123429526616,0.6172241139826803,0.21364766404769375,0.6165073271382469
BKT,2h_lt12h,43925,0.6669095048377917,0.6585021212676984,0.6241613926983721,0.21666597997686088,0.5833351944230587
BKT,30d_plus,21417,0.6215623103142364,0.6350517910978539,0.6581003616438528,0.23269733500570475,0.5422275887775833
BKT,30min_lt2h,31822,0.6662057695933631,0.6578075490866062,0.6246701015193232,0.21689160190831314,0.5874055254597268
BKT,3d_lt7d,51629,0.6396792500338957,0.6430831909678197,0.6426809697634769,0.22546917591292745,0.5722465390701212
BKT,5min_lt30min,76986,0.6669784116592627,0.6553915645214569,0.6244564582223111,0.216816023815587,0.5852049756817013
BKT,7d_lt30d,49459,0.6372146626498716,0.6406582412130172,0.6456263616387544,0.2268334139653841,0.5652933303104684
BKT,first_or_zero,50108,0.5534046459647162,0.6127018398319,0.6895563607051243,0.24813698000975665,0.5004372517648669
BKT,gt0_lt1min,34523,0.668858442197955,0.6395931509265158,0.6107576693061852,0.21054029618679915,0.6249577779417299
BKT-F,12h_lt1d,46376,0.6547783336208384,0.651823731065941,0.628629990599956,0.21888498932847716,0.5965089800382576
BKT-F,1d_lt3d,86240,0.6367230983302412,0.6442467826015964,0.6354689557224649,0.22216158570659725,0.6110430624586297
BKT-F,1min_lt5min,76517,0.663212096658259,0.660420800855183,0.6155249931654798,0.21292796771870864,0.6221297797758881
BKT-F,2h_lt12h,43925,0.6669095048377917,0.6607187330175947,0.6231361604181385,0.21622616013904652,0.5888617401779759
BKT-F,30d_plus,21417,0.6215623103142364,0.6157260276567499,0.6580743091163546,0.2327503543709153,0.54162699803538
BKT-F,30min_lt2h,31822,0.6662057695933631,0.6601641317413884,0.6242616235794668,0.21672061951460253,0.5907090313323302
BKT-F,3d_lt7d,51629,0.6396792500338957,0.6421488242380908,0.6424349143597571,0.2253650201292215,0.573385297115787
BKT-F,5min_lt30min,76986,0.6669784116592627,0.6569513477631725,0.623587058736759,0.21644737434972547,0.5891133630570695
BKT-F,7d_lt30d,49459,0.6372146626498716,0.63717479011437,0.6451710903417868,0.22664193855443177,0.5672557941406509
BKT-F,first_or_zero,50108,0.5534046459647162,0.6136890250233585,0.6896806387840572,0.24818695189082093,0.5005602679341745
BKT-F,gt0_lt1min,34523,0.668858442197955,0.6388608471390776,0.6080487944840404,0.2094180640470401,0.6371933094605258
