guess_boundary_se_floor,world_model,policy,mean_simulated_benefit,sd_across_replicates
0.35,binary_bktf,balanced_mastery,0.014799999999999976,0.006514300508198163
0.35,binary_bktf,blocked_median_item,0.0,0.0
0.35,binary_bktf,interleaved_median_item,-0.0006000000000000005,0.003505154933966729
0.35,binary_bktf,maximum_response_information_gain,0.018699999999999998,0.004971306557524802
0.35,binary_bktf,maximum_skill_uncertainty,0.00933333333333332,0.005421151989096867
0.35,continuous_latent_trait,balanced_mastery,-0.0038970720122562196,0.0003753945975254469
0.35,continuous_latent_trait,blocked_median_item,0.0,0.0
0.35,continuous_latent_trait,interleaved_median_item,0.0002171752324108415,7.899273079307507e-06
0.35,continuous_latent_trait,maximum_response_information_gain,0.0020648225800543817,0.0005212828995601346
0.35,continuous_latent_trait,maximum_skill_uncertainty,-0.00042515697036638045,0.0003797755724222277
0.35,four_state_semimarkov,balanced_mastery,0.0009333333333333192,0.004596932686417853
0.35,four_state_semimarkov,blocked_median_item,0.0,0.0
0.35,four_state_semimarkov,interleaved_median_item,0.0006444444444444326,0.001726964796226977
0.35,four_state_semimarkov,maximum_response_information_gain,0.007100000000000011,0.003524473518165083
0.35,four_state_semimarkov,maximum_skill_uncertainty,0.0008555555555555576,0.0018486731978888382
0.55,binary_bktf,balanced_mastery,0.006133333333333317,0.004279148409568301
0.55,binary_bktf,blocked_median_item,0.0,0.0
0.55,binary_bktf,interleaved_median_item,0.0004000000000000078,0.0031238331154742503
0.55,binary_bktf,maximum_response_information_gain,0.016033333333333337,0.008494606131736415
0.55,binary_bktf,maximum_skill_uncertainty,0.0036666666666666627,0.0030046260628866454
0.55,continuous_latent_trait,balanced_mastery,-0.0037606621867347567,0.00040921480963636547
0.55,continuous_latent_trait,blocked_median_item,0.0,0.0
0.55,continuous_latent_trait,interleaved_median_item,0.00021526964914112177,5.369399737954298e-06
0.55,continuous_latent_trait,maximum_response_information_gain,0.0014722062558901146,0.0003787900735161608
0.55,continuous_latent_trait,maximum_skill_uncertainty,-0.00047462224179281397,0.0005557175898382408
0.55,four_state_semimarkov,balanced_mastery,0.0010555555555555578,0.004583080801123813
0.55,four_state_semimarkov,blocked_median_item,0.0,0.0
0.55,four_state_semimarkov,interleaved_median_item,-0.0006777777777777771,0.0008121378585157853
0.55,four_state_semimarkov,maximum_response_information_gain,0.007488888888888885,0.0008978712822594654
0.55,four_state_semimarkov,maximum_skill_uncertainty,0.003300000000000014,0.0019800704564094996
0.75,binary_bktf,balanced_mastery,0.013433333333333342,0.01068267028623665
0.75,binary_bktf,blocked_median_item,0.0,0.0
0.75,binary_bktf,interleaved_median_item,-0.0022999999999999987,0.0037144612290643496
0.75,binary_bktf,maximum_response_information_gain,0.017633333333333324,0.006357847294660556
0.75,binary_bktf,maximum_skill_uncertainty,0.004666666666666664,0.004302776881141858
0.75,continuous_latent_trait,balanced_mastery,-0.003938786027635103,0.0007900145372945516
0.75,continuous_latent_trait,blocked_median_item,0.0,0.0
0.75,continuous_latent_trait,interleaved_median_item,0.00021242773698200158,3.169720251503167e-06
0.75,continuous_latent_trait,maximum_response_information_gain,0.0017625144409313914,0.0002951156447918514
0.75,continuous_latent_trait,maximum_skill_uncertainty,-0.0007955191855009297,0.00039992766854774544
0.75,four_state_semimarkov,balanced_mastery,-0.0003111111111111064,0.0037586525691798824
0.75,four_state_semimarkov,blocked_median_item,0.0,0.0
0.75,four_state_semimarkov,interleaved_median_item,0.0006888888888889017,0.003000154317018689
0.75,four_state_semimarkov,maximum_response_information_gain,0.007377777777777779,0.003806143506892729
0.75,four_state_semimarkov,maximum_skill_uncertainty,0.0031444444444444384,0.005854933553301866
