analysis_mode,world_model,policy,n_parameter_draws,stress_scale,grid_role,reference_policy,orders_per_draw,learners_per_order,mean_over_draws,positive_draw_fraction,minimum_draw_mean,maximum_draw_mean
frozen_policy_scale_sensitivity,binary_bktf,maximum_response_information_gain,20,0.5,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.011453125,1.0,0.0006250000000000001,0.025937499999999898
frozen_policy_scale_sensitivity,binary_bktf,maximum_response_information_gain,20,0.5,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0104999999999999,0.95,-0.0015624999999999001,0.021875
frozen_policy_scale_sensitivity,binary_bktf,two_corner_robust_response_information_gain,20,0.5,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.0124218749999999,0.95,-0.00156250000000005,0.02343749999999995
frozen_policy_scale_sensitivity,binary_bktf,two_corner_robust_response_information_gain,20,0.5,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0114687499999999,0.95,-0.00031249999999994997,0.019375000000000052
frozen_policy_scale_sensitivity,continuous_latent_trait,maximum_response_information_gain,20,0.5,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.0017692520219175,1.0,0.0007339038371882,0.0027955924754650002
frozen_policy_scale_sensitivity,continuous_latent_trait,maximum_response_information_gain,20,0.5,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.001634759059143,1.0,0.00058611214182635,0.0026875670758646497
frozen_policy_scale_sensitivity,continuous_latent_trait,two_corner_robust_response_information_gain,20,0.5,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.00217293469042,1.0,0.00062867293879025,0.0038162365282645
frozen_policy_scale_sensitivity,continuous_latent_trait,two_corner_robust_response_information_gain,20,0.5,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0020384417276456,1.0,0.00048088124342835,0.0036894081313073
frozen_policy_scale_sensitivity,four_state_semimarkov,maximum_response_information_gain,20,0.5,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.0080989583333333,1.0,0.0014583333333334,0.012812500000000001
frozen_policy_scale_sensitivity,four_state_semimarkov,maximum_response_information_gain,20,0.5,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0076979166666666,1.0,0.0022916666666666498,0.01447916666666655
frozen_policy_scale_sensitivity,four_state_semimarkov,two_corner_robust_response_information_gain,20,0.5,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.0078697916666666,0.95,-0.00031250000000005015,0.013020833333333301
frozen_policy_scale_sensitivity,four_state_semimarkov,two_corner_robust_response_information_gain,20,0.5,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0074687499999999,1.0,0.00041666666666664983,0.0155208333333333
frozen_policy_scale_sensitivity,binary_bktf,maximum_response_information_gain,20,1.5,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.014375,1.0,0.00374999999999995,0.02562499999999995
frozen_policy_scale_sensitivity,binary_bktf,maximum_response_information_gain,20,1.5,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0148437499999999,1.0,0.00374999999999995,0.02625
frozen_policy_scale_sensitivity,binary_bktf,two_corner_robust_response_information_gain,20,1.5,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.013734375,1.0,0.0037500000000000003,0.0256250000000001
frozen_policy_scale_sensitivity,binary_bktf,two_corner_robust_response_information_gain,20,1.5,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.014203125,1.0,0.006875,0.0218749999999999
frozen_policy_scale_sensitivity,continuous_latent_trait,maximum_response_information_gain,20,1.5,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.0015399400919899,0.85,-0.00105271221719875,0.00441133971202275
frozen_policy_scale_sensitivity,continuous_latent_trait,maximum_response_information_gain,20,1.5,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0014079313127726,0.8,-0.0011719103074668501,0.0042739434814655
frozen_policy_scale_sensitivity,continuous_latent_trait,two_corner_robust_response_information_gain,20,1.5,exploratory_scale_sensitivity_not_tail_guarantee,blocked_median_item,2.0,80.0,0.0017401593283534,0.9,-0.0015866460763246499,0.0052000478778595
frozen_policy_scale_sensitivity,continuous_latent_trait,two_corner_robust_response_information_gain,20,1.5,exploratory_scale_sensitivity_not_tail_guarantee,interleaved_median_item,2.0,80.0,0.0016081505491361,0.85,-0.0016925415253628501,0.00506265164730225
