world_model,policy,quantile_group,n_replicates,mean_simulated_benefit,simulation_interval_low,simulation_interval_high,mean_group_prevalence,mean_group_n
binary_bktf,balanced_mastery,high,10,0.01734428315480311,0.01295949024134754,0.02172907606825868,0.2116,52.9
binary_bktf,balanced_mastery,low,10,0.00753695495754238,0.003913403764580605,0.011160506150504155,0.4476,111.9
binary_bktf,balanced_mastery,middle,10,0.014295843838861542,0.010254406290726848,0.018337281386996238,0.3408,85.2
binary_bktf,blocked_median_item,high,10,0.0,0.0,0.0,0.2116,52.9
binary_bktf,blocked_median_item,low,10,0.0,0.0,0.0,0.4476,111.9
binary_bktf,blocked_median_item,middle,10,0.0,0.0,0.0,0.3408,85.2
binary_bktf,interleaved_median_item,high,10,-0.002455453735766492,-0.006056816065126317,0.0011459085935933335,0.2116,52.9
binary_bktf,interleaved_median_item,low,10,-0.0011300767184219355,-0.003115207202347324,0.0008550537655034529,0.4476,111.9
binary_bktf,interleaved_median_item,middle,10,0.0013569407092691018,-0.0022917017698509024,0.005005583188389106,0.3408,85.2
binary_bktf,least_mastery_target_item,high,10,0.018107957661233524,0.01095620717091624,0.025259708151550805,0.2116,52.9
binary_bktf,least_mastery_target_item,low,10,0.00024918280809131015,-0.00238085200803604,0.00287921762421866,0.4476,111.9
binary_bktf,least_mastery_target_item,middle,10,0.014238559044434714,0.009905078813561508,0.01857203927530792,0.3408,85.2
binary_bktf,maximum_response_information_gain,high,10,0.011111772299449523,0.006407261974670284,0.015816282624228763,0.2116,52.9
binary_bktf,maximum_response_information_gain,low,10,0.01966987888354964,0.016882563201425352,0.02245719456567393,0.4476,111.9
binary_bktf,maximum_response_information_gain,middle,10,0.017106595792794246,0.011885240976049621,0.02232795060953887,0.3408,85.2
binary_bktf,maximum_skill_uncertainty,high,10,0.004114688676260607,0.00021697992949546666,0.008012397423025747,0.2116,52.9
binary_bktf,maximum_skill_uncertainty,low,10,0.00736141666250643,0.0025005253843217185,0.012222307940691141,0.4476,111.9
binary_bktf,maximum_skill_uncertainty,middle,10,0.0060010165042439795,0.002703162028263775,0.009298870980224184,0.3408,85.2
binary_bktf,random_skill_item_bin,high,10,-0.0006015227276421344,-0.004038374985630247,0.0028353295303459774,0.2116,52.9
binary_bktf,random_skill_item_bin,low,10,-0.0017548599493723287,-0.004981881332180601,0.0014721614334359434,0.4476,111.9
binary_bktf,random_skill_item_bin,middle,10,0.0004883236451982151,-0.0029074695426264474,0.003884116833022878,0.3408,85.2
binary_bktf,target_success_070,high,10,0.00036532200754283784,-0.0033696411672303967,0.004100285182316072,0.2116,52.9
binary_bktf,target_success_070,low,10,0.00040690152475171434,-0.0034823546822057364,0.004296157731709165,0.4476,111.9
binary_bktf,target_success_070,middle,10,-0.0002062969237787594,-0.0038972440014293248,0.0034846501538718056,0.3408,85.2
binary_bktf,two_corner_robust_response_information_gain,high,10,0.010000242884364609,0.006302698626730503,0.013697787141998714,0.2116,52.9
binary_bktf,two_corner_robust_response_information_gain,low,10,0.016791787376008283,0.01264639112092339,0.020937183631093176,0.4476,111.9
binary_bktf,two_corner_robust_response_information_gain,middle,10,0.01555006424923396,0.010060237286400708,0.021039891212067213,0.3408,85.2
continuous_latent_trait,balanced_mastery,high,10,-0.0029267461181410105,-0.0032723854036752044,-0.0025811068326068165,0.3276,81.9
continuous_latent_trait,balanced_mastery,low,10,-0.005507526306949188,-0.005931075102071245,-0.005083977511827131,0.33399999999999996,83.5
continuous_latent_trait,balanced_mastery,middle,10,-0.004233927441933353,-0.004779143761937793,-0.003688711121928913,0.3384,84.6
continuous_latent_trait,blocked_median_item,high,10,0.0,0.0,0.0,0.3276,81.9
continuous_latent_trait,blocked_median_item,low,10,0.0,0.0,0.0,0.33399999999999996,83.5
continuous_latent_trait,blocked_median_item,middle,10,0.0,0.0,0.0,0.3384,84.6
continuous_latent_trait,interleaved_median_item,high,10,0.00021567014157611127,0.00020765792925340963,0.0002236823538988129,0.3276,81.9
continuous_latent_trait,interleaved_median_item,low,10,0.00022281529392265505,0.00021730235967216464,0.00022832822817314547,0.33399999999999996,83.5
continuous_latent_trait,interleaved_median_item,middle,10,0.00021864448717301416,0.00021105963869747827,0.00022622933564855004,0.3384,84.6
continuous_latent_trait,least_mastery_target_item,high,10,-0.007162211040775279,-0.0075516496313515445,-0.006772772450199013,0.3276,81.9
continuous_latent_trait,least_mastery_target_item,low,10,-0.011457310410601178,-0.012030171556734852,-0.010884449264467504,0.33399999999999996,83.5
continuous_latent_trait,least_mastery_target_item,middle,10,-0.00932278301521288,-0.009869324725101635,-0.008776241305324126,0.3384,84.6
continuous_latent_trait,maximum_response_information_gain,high,10,0.0015120465755055768,0.0008929558967809594,0.002131137254230194,0.3276,81.9
continuous_latent_trait,maximum_response_information_gain,low,10,0.0015929836774478644,0.0011189551749751943,0.0020670121799205347,0.33399999999999996,83.5
continuous_latent_trait,maximum_response_information_gain,middle,10,0.001909558139107011,0.0014536885328134477,0.0023654277454005744,0.3384,84.6
continuous_latent_trait,maximum_skill_uncertainty,high,10,-0.00011099785864687739,-0.0004788850639249226,0.00025688934663116783,0.3276,81.9
continuous_latent_trait,maximum_skill_uncertainty,low,10,-0.0002777618190098067,-0.0006964196687737677,0.00014089603075415427,0.33399999999999996,83.5
continuous_latent_trait,maximum_skill_uncertainty,middle,10,-0.0005330664497659769,-0.0008921231425288939,-0.00017400975700305983,0.3384,84.6
continuous_latent_trait,random_skill_item_bin,high,10,-0.0010319384334986656,-0.0012213114685918416,-0.0008425653984054896,0.3276,81.9
continuous_latent_trait,random_skill_item_bin,low,10,-0.0010789014783143978,-0.0012847619162084428,-0.0008730410404203528,0.33399999999999996,83.5
continuous_latent_trait,random_skill_item_bin,middle,10,-0.000985614613492151,-0.0012392674802335331,-0.0007319617467507689,0.3384,84.6
