variant,corner_low,corner_high,world_model,mean_simulated_benefit,sd_across_replicates,min_replicate_benefit,max_replicate_benefit,rank_within_world
corners_0.50_1.50,0.5,1.5,binary_bktf,0.015066666666666695,0.0023276717027011485,0.01191666666666665,0.01741666666666671,1
corners_0.50_1.50,0.5,1.5,continuous_latent_trait,0.002424185424662525,0.00044202348274152817,0.0018721718816885335,0.0030623801894250624,1
corners_0.50_1.50,0.5,1.5,four_state_semimarkov,0.0087611111111111,0.0025241579698565236,0.005333333333333338,0.012027777777777785,2
corners_0.75_1.25,0.75,1.25,binary_bktf,0.012616666666666684,0.003270554659041457,0.00833333333333334,0.01708333333333334,4
corners_0.75_1.25,0.75,1.25,continuous_latent_trait,0.0021448047936533177,8.042643195252372e-05,0.0020542695911737185,0.0022225212367614398,2
corners_0.75_1.25,0.75,1.25,four_state_semimarkov,0.009650000000000011,0.001640018443136293,0.008333333333333304,0.012111111111111147,1
corners_0.90_1.10,0.9,1.1,binary_bktf,0.014516666666666674,0.0036511984333914243,0.009750000000000036,0.01824999999999999,3
corners_0.90_1.10,0.9,1.1,continuous_latent_trait,0.0019337238317744438,0.0003564431451430385,0.0016974179418403808,0.0025652851248277875,4
corners_0.90_1.10,0.9,1.1,four_state_semimarkov,0.008161111111111109,0.0023034964030821206,0.004583333333333346,0.010083333333333333,4
standard_maximum_response_MI,1.0,1.0,binary_bktf,0.014583333333333365,0.0018104634152000588,0.01191666666666665,0.01691666666666673,2
standard_maximum_response_MI,1.0,1.0,continuous_latent_trait,0.002065687137000579,0.0004108440536826513,0.001378002084642005,0.0024428487608302296,3
standard_maximum_response_MI,1.0,1.0,four_state_semimarkov,0.008244444444444454,0.0029565657212714995,0.004611111111111084,0.011833333333333399,3
